test_name,epochs,reward,epsilon,epsilon_min,espilon_decay ,gamma,memory_size,BATCH_SIZE size,STEP_BETWEEN_STATE,TRAINING_FREQUENCY,TARGET_UPDATE_FREQUENCY,MIN_FRAME_FOR_NEG_REWARD
alex9_frame_window,440,35.568600682594045,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,450,54.57647058823558,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,460,-0.30344827586206025,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,470,64.36610169491564,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,480,45.03728813559338,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,490,20.173289902280054,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,500,49.827777777777996,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,510,69.10175438596518,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,520,44.133333333333525,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,530,66.63684210526364,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,540,66.46691449814159,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,550,50.67955390334596,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,560,40.50996563573898,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,570,75.18518518518552,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,580,162.2181818181811,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,590,40.14210526315806,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,600,50.0235294117649,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50
alex9_frame_window,610,55.716129032258294,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50
